filename,size_bytes,total_chars,chinese_chars,ascii_punct_chars,info_bits,sha256
繁体版出師表.docx,15724,752,752,0,12032,A21FB5886B6979357CA234B1882BB18CAC46E2B1BD7D0D06E504CEE3791EE72E
背影.docx,18333,1305,1305,0,20880,D9CC458AB858FAE5758ED20445C34B411A1E715A7561DA7647B53D8B704AABBF
