method,file,scheme,mfe_mean_kcal_mol,mfe_min_kcal_mol,mfe_max_kcal_mol
CMC,繁体版出師表,B方案(繁转简),-30.6000,-43.9,-21.2
CMC,繁体版出師表,A方案(繁体直编),-31.1000,-43.8,-22.0
CMC,背影,简体存储,-27.8000,-31.2,-24.3
YYC,繁体版出師表,,-13.0000,-23.5,1.7
YYC,背影,,-15.7900,-26.9,1.5
DNA Fountain,繁体版出師表,,-11.4447,-21.5,-1.6
DNA Fountain,背影,,-12.4023,-23.9,-1.4
HEDGES,繁体版出師表,,-88.5888,-106.0,-73.3
HEDGES,背影,,-89.6482,-111.5,-73.7
DRRC,繁体版出師表,,-3.4370,-13.3,0.5
DRRC,背影,,-2.9685,-12.0,1.1
