method,file,scheme,info_bits,total_nt,storage_density_bits_per_nt
CMC,繁体版出師表,B方案(繁转简),12032,6195,1.942211
CMC,繁体版出師表,A方案(繁体直编),12032,6214,1.936273
CMC,背影,简体存储,20880,9607,2.173415
YYC,繁体版出師表,,12032,9728,1.236842
YYC,背影,,20880,17157,1.216996
DNA Fountain,繁体版出師表,,12032,11552,1.041551
DNA Fountain,背影,,20880,20064,1.040670
HEDGES,繁体版出師表,,12032,76500,0.157281
HEDGES,背影,,20880,76500,0.272941
DRRC,繁体版出師表,,12032,75477,0.159413
DRRC,背影,,20880,87999,0.237275
