method,file,scheme,max_homopolymer_length
CMC,繁体版出師表,B方案(繁转简),2
CMC,繁体版出師表,A方案(繁体直编),2
CMC,背影,简体存储,2
YYC,繁体版出師表,,4
YYC,背影,,4
DNA Fountain,繁体版出師表,,3
DNA Fountain,背影,,3
HEDGES,繁体版出師表,,4
HEDGES,背影,,4
DRRC,繁体版出師表,,3
DRRC,背影,,3
